structure_id,material_class,formula,variant,file_path
critical_minerals_CeO2_fluorite_ideal_2x2x2,Critical Mineral,CeO2,fluorite_ideal_2x2x2,critical_minerals/critical_minerals_CeO2_fluorite_ideal_2x2x2.xyz
critical_minerals_CeO2_fluorite_O_vacancy,Critical Mineral,CeO2,fluorite_O_vacancy,critical_minerals/critical_minerals_CeO2_fluorite_O_vacancy.xyz
critical_minerals_CeO2_fluorite_Ce_vacancy,Critical Mineral,CeO2,fluorite_Ce_vacancy,critical_minerals/critical_minerals_CeO2_fluorite_Ce_vacancy.xyz
critical_minerals_LiCoO2_layered_ideal,Critical Mineral,LiCoO2,layered_ideal,critical_minerals/critical_minerals_LiCoO2_layered_ideal.xyz
critical_minerals_LiCoO2_layered_ideal_2x2x1,Critical Mineral,LiCoO2,layered_ideal_2x2x1,critical_minerals/critical_minerals_LiCoO2_layered_ideal_2x2x1.xyz
critical_minerals_LiCoO2_layered_Li_vacancy,Critical Mineral,LiCoO2,layered_Li_vacancy,critical_minerals/critical_minerals_LiCoO2_layered_Li_vacancy.xyz
critical_minerals_LiCoO2_layered_Co_Li_antisite,Critical Mineral,LiCoO2,layered_Co_Li_antisite,critical_minerals/critical_minerals_LiCoO2_layered_Co_Li_antisite.xyz
critical_minerals_LiFePO4_olivine_ideal,Critical Mineral,LiFePO4,olivine_ideal,critical_minerals/critical_minerals_LiFePO4_olivine_ideal.xyz
critical_minerals_LiFePO4_olivine_Li_vacancy,Critical Mineral,LiFePO4,olivine_Li_vacancy,critical_minerals/critical_minerals_LiFePO4_olivine_Li_vacancy.xyz
critical_minerals_LiFePO4_olivine_FeLi_antisite,Critical Mineral,LiFePO4,olivine_FeLi_antisite,critical_minerals/critical_minerals_LiFePO4_olivine_FeLi_antisite.xyz
critical_minerals_MgAl2O4_spinel_ideal,Critical Mineral,MgAl2O4,spinel_ideal,critical_minerals/critical_minerals_MgAl2O4_spinel_ideal.xyz
critical_minerals_MgAl2O4_spinel_Mg_vacancy,Critical Mineral,MgAl2O4,spinel_Mg_vacancy,critical_minerals/critical_minerals_MgAl2O4_spinel_Mg_vacancy.xyz
critical_minerals_MgAl2O4_spinel_Al_vacancy,Critical Mineral,MgAl2O4,spinel_Al_vacancy,critical_minerals/critical_minerals_MgAl2O4_spinel_Al_vacancy.xyz
critical_minerals_CoS2_pyrite_ideal,Critical Mineral,CoS2,pyrite_ideal,critical_minerals/critical_minerals_CoS2_pyrite_ideal.xyz
critical_minerals_CoS2_pyrite_S_vacancy,Critical Mineral,CoS2,pyrite_S_vacancy,critical_minerals/critical_minerals_CoS2_pyrite_S_vacancy.xyz
critical_minerals_CoS2_pyrite_Co_vacancy,Critical Mineral,CoS2,pyrite_Co_vacancy,critical_minerals/critical_minerals_CoS2_pyrite_Co_vacancy.xyz
critical_minerals_La2O3_typeA_ideal,Critical Mineral,La2O3,typeA_ideal,critical_minerals/critical_minerals_La2O3_typeA_ideal.xyz
critical_minerals_La2O3_typeA_La_vacancy,Critical Mineral,La2O3,typeA_La_vacancy,critical_minerals/critical_minerals_La2O3_typeA_La_vacancy.xyz
critical_minerals_La2O3_typeA_O_vacancy,Critical Mineral,La2O3,typeA_O_vacancy,critical_minerals/critical_minerals_La2O3_typeA_O_vacancy.xyz
critical_minerals_Al2O3_corundum_ideal,Critical Mineral,Al2O3,corundum_ideal,critical_minerals/critical_minerals_Al2O3_corundum_ideal.xyz
critical_minerals_Al2O3_corundum_O_vacancy,Critical Mineral,Al2O3,corundum_O_vacancy,critical_minerals/critical_minerals_Al2O3_corundum_O_vacancy.xyz
critical_minerals_SiC_zincblende_ideal,Critical Mineral,SiC,zincblende_ideal,critical_minerals/critical_minerals_SiC_zincblende_ideal.xyz
critical_minerals_SiC_zincblende_C_vacancy,Critical Mineral,SiC,zincblende_C_vacancy,critical_minerals/critical_minerals_SiC_zincblende_C_vacancy.xyz
critical_minerals_SiC_zincblende_C_antisite,Critical Mineral,SiC,zincblende_C_antisite,critical_minerals/critical_minerals_SiC_zincblende_C_antisite.xyz
critical_minerals_WC_hexagonal_ideal,Critical Mineral,WC,hexagonal_ideal,critical_minerals/critical_minerals_WC_hexagonal_ideal.xyz
critical_minerals_WC_hexagonal_C_vacancy,Critical Mineral,WC,hexagonal_C_vacancy,critical_minerals/critical_minerals_WC_hexagonal_C_vacancy.xyz
critical_minerals_WC_hexagonal_W_vacancy,Critical Mineral,WC,hexagonal_W_vacancy,critical_minerals/critical_minerals_WC_hexagonal_W_vacancy.xyz
critical_minerals_Nd2Fe14B_tetragonal_ideal,Critical Mineral,Nd2Fe14B,tetragonal_ideal,critical_minerals/critical_minerals_Nd2Fe14B_tetragonal_ideal.xyz
critical_minerals_Nd2Fe14B_tetragonal_Fe_vacancy,Critical Mineral,Nd2Fe14B,tetragonal_Fe_vacancy,critical_minerals/critical_minerals_Nd2Fe14B_tetragonal_Fe_vacancy.xyz
catalysis_Pt_111_slab_ideal,Catalysis,Pt,111_slab_ideal,catalysis/catalysis_Pt_111_slab_ideal.xyz
catalysis_Pt_111_slab_surface_vacancy,Catalysis,Pt,111_slab_surface_vacancy,catalysis/catalysis_Pt_111_slab_surface_vacancy.xyz
catalysis_Cu_100_slab_ideal,Catalysis,Cu,100_slab_ideal,catalysis/catalysis_Cu_100_slab_ideal.xyz
catalysis_Cu_100_slab_surface_vacancy,Catalysis,Cu,100_slab_surface_vacancy,catalysis/catalysis_Cu_100_slab_surface_vacancy.xyz
catalysis_Pd_111_slab_ideal,Catalysis,Pd,111_slab_ideal,catalysis/catalysis_Pd_111_slab_ideal.xyz
catalysis_Pd_111_slab_surface_vacancy,Catalysis,Pd,111_slab_surface_vacancy,catalysis/catalysis_Pd_111_slab_surface_vacancy.xyz
catalysis_Pd0.75Cu0.25_111_slab_alloy,Catalysis,Pd0.75Cu0.25,111_slab_alloy,catalysis/catalysis_Pd0.75Cu0.25_111_slab_alloy.xyz
catalysis_Pd0.75Cu0.25_111_slab_alloy_vacancy,Catalysis,Pd0.75Cu0.25,111_slab_alloy_vacancy,catalysis/catalysis_Pd0.75Cu0.25_111_slab_alloy_vacancy.xyz
catalysis_Ni_111_slab_ideal,Catalysis,Ni,111_slab_ideal,catalysis/catalysis_Ni_111_slab_ideal.xyz
catalysis_Ni_111_slab_surface_vacancy,Catalysis,Ni,111_slab_surface_vacancy,catalysis/catalysis_Ni_111_slab_surface_vacancy.xyz
catalysis_Au_111_slab_ideal,Catalysis,Au,111_slab_ideal,catalysis/catalysis_Au_111_slab_ideal.xyz
catalysis_Ru_0001_slab_ideal,Catalysis,Ru,0001_slab_ideal,catalysis/catalysis_Ru_0001_slab_ideal.xyz
catalysis_Ru_0001_slab_surface_vacancy,Catalysis,Ru,0001_slab_surface_vacancy,catalysis/catalysis_Ru_0001_slab_surface_vacancy.xyz
catalysis_Fe_110_slab_ideal,Catalysis,Fe,110_slab_ideal,catalysis/catalysis_Fe_110_slab_ideal.xyz
catalysis_Fe_110_slab_surface_vacancy,Catalysis,Fe,110_slab_surface_vacancy,catalysis/catalysis_Fe_110_slab_surface_vacancy.xyz
catalysis_Co_0001_slab_ideal,Catalysis,Co,0001_slab_ideal,catalysis/catalysis_Co_0001_slab_ideal.xyz
catalysis_Co_0001_slab_surface_vacancy,Catalysis,Co,0001_slab_surface_vacancy,catalysis/catalysis_Co_0001_slab_surface_vacancy.xyz
hec_MgCoNiCuZnO_HEO_rocksalt_ideal,High-Entropy Ceramic,MgCoNiCuZnO,HEO_rocksalt_ideal,hec/hec_MgCoNiCuZnO_HEO_rocksalt_ideal.xyz
hec_MgCoNiCuZnO_HEO_rocksalt_O_vacancy,High-Entropy Ceramic,MgCoNiCuZnO,HEO_rocksalt_O_vacancy,hec/hec_MgCoNiCuZnO_HEO_rocksalt_O_vacancy.xyz
hec_MgCoNiCuZnO_HEO_rocksalt_Mg_vacancy,High-Entropy Ceramic,MgCoNiCuZnO,HEO_rocksalt_Mg_vacancy,hec/hec_MgCoNiCuZnO_HEO_rocksalt_Mg_vacancy.xyz
hec_MgCoNiCuZnO_HEO_rocksalt_random2,High-Entropy Ceramic,MgCoNiCuZnO,HEO_rocksalt_random2,hec/hec_MgCoNiCuZnO_HEO_rocksalt_random2.xyz
hec_HfTaZrNbTiC_HECarbide_ideal,High-Entropy Ceramic,HfTaZrNbTiC,HECarbide_ideal,hec/hec_HfTaZrNbTiC_HECarbide_ideal.xyz
hec_HfTaZrNbTiC_HECarbide_C_vacancy,High-Entropy Ceramic,HfTaZrNbTiC,HECarbide_C_vacancy,hec/hec_HfTaZrNbTiC_HECarbide_C_vacancy.xyz
hec_HfTaZrNbTiC_HECarbide_Ti_vacancy,High-Entropy Ceramic,HfTaZrNbTiC,HECarbide_Ti_vacancy,hec/hec_HfTaZrNbTiC_HECarbide_Ti_vacancy.xyz
hec_AlCrNbTiVN_HENitride_ideal,High-Entropy Ceramic,AlCrNbTiVN,HENitride_ideal,hec/hec_AlCrNbTiVN_HENitride_ideal.xyz
hec_AlCrNbTiVN_HENitride_N_vacancy,High-Entropy Ceramic,AlCrNbTiVN,HENitride_N_vacancy,hec/hec_AlCrNbTiVN_HENitride_N_vacancy.xyz
hec_AlCrNbTiVN_HENitride_Cr_vacancy,High-Entropy Ceramic,AlCrNbTiVN,HENitride_Cr_vacancy,hec/hec_AlCrNbTiVN_HENitride_Cr_vacancy.xyz
hec_HfMoNbTaTiB2_HEBoride_ideal,High-Entropy Ceramic,HfMoNbTaTiB2,HEBoride_ideal,hec/hec_HfMoNbTaTiB2_HEBoride_ideal.xyz
hec_HfMoNbTaTiB2_HEBoride_B_vacancy,High-Entropy Ceramic,HfMoNbTaTiB2,HEBoride_B_vacancy,hec/hec_HfMoNbTaTiB2_HEBoride_B_vacancy.xyz
hec_HfMoNbTaTiB2_HEBoride_Hf_vacancy,High-Entropy Ceramic,HfMoNbTaTiB2,HEBoride_Hf_vacancy,hec/hec_HfMoNbTaTiB2_HEBoride_Hf_vacancy.xyz
perovskite_BaTiO3_cubic_ideal,Perovskite,BaTiO3,cubic_ideal,perovskite/perovskite_BaTiO3_cubic_ideal.xyz
perovskite_BaTiO3_cubic_ideal_2x2x2,Perovskite,BaTiO3,cubic_ideal_2x2x2,perovskite/perovskite_BaTiO3_cubic_ideal_2x2x2.xyz
perovskite_BaTiO3_cubic_O_vacancy,Perovskite,BaTiO3,cubic_O_vacancy,perovskite/perovskite_BaTiO3_cubic_O_vacancy.xyz
perovskite_BaTiO3_cubic_Ti_vacancy,Perovskite,BaTiO3,cubic_Ti_vacancy,perovskite/perovskite_BaTiO3_cubic_Ti_vacancy.xyz
perovskite_BaTiO3_cubic_Ba_Ti_antisite,Perovskite,BaTiO3,cubic_Ba_Ti_antisite,perovskite/perovskite_BaTiO3_cubic_Ba_Ti_antisite.xyz
perovskite_SrTiO3_cubic_ideal,Perovskite,SrTiO3,cubic_ideal,perovskite/perovskite_SrTiO3_cubic_ideal.xyz
perovskite_SrTiO3_cubic_ideal_2x2x2,Perovskite,SrTiO3,cubic_ideal_2x2x2,perovskite/perovskite_SrTiO3_cubic_ideal_2x2x2.xyz
perovskite_SrTiO3_cubic_O_vacancy,Perovskite,SrTiO3,cubic_O_vacancy,perovskite/perovskite_SrTiO3_cubic_O_vacancy.xyz
perovskite_SrTiO3_cubic_Sr_vacancy,Perovskite,SrTiO3,cubic_Sr_vacancy,perovskite/perovskite_SrTiO3_cubic_Sr_vacancy.xyz
perovskite_CsPbBr3_cubic_ideal,Perovskite,CsPbBr3,cubic_ideal,perovskite/perovskite_CsPbBr3_cubic_ideal.xyz
perovskite_CsPbBr3_cubic_ideal_2x2x2,Perovskite,CsPbBr3,cubic_ideal_2x2x2,perovskite/perovskite_CsPbBr3_cubic_ideal_2x2x2.xyz
perovskite_CsPbBr3_cubic_Br_vacancy,Perovskite,CsPbBr3,cubic_Br_vacancy,perovskite/perovskite_CsPbBr3_cubic_Br_vacancy.xyz
perovskite_CsPbBr3_cubic_Cs_vacancy,Perovskite,CsPbBr3,cubic_Cs_vacancy,perovskite/perovskite_CsPbBr3_cubic_Cs_vacancy.xyz
perovskite_CsPbBr1.5I1.5_cubic_mixed_halide,Perovskite,CsPbBr1.5I1.5,cubic_mixed_halide,perovskite/perovskite_CsPbBr1.5I1.5_cubic_mixed_halide.xyz
perovskite_LaFeO3_orthorhombic_ideal,Perovskite,LaFeO3,orthorhombic_ideal,perovskite/perovskite_LaFeO3_orthorhombic_ideal.xyz
perovskite_LaFeO3_orthorhombic_O_vacancy,Perovskite,LaFeO3,orthorhombic_O_vacancy,perovskite/perovskite_LaFeO3_orthorhombic_O_vacancy.xyz
perovskite_LaFeO3_orthorhombic_Fe_vacancy,Perovskite,LaFeO3,orthorhombic_Fe_vacancy,perovskite/perovskite_LaFeO3_orthorhombic_Fe_vacancy.xyz
fcc_hea_CrMnFeCoNi_Cantor_108_ideal,FCC HEA,CrMnFeCoNi,Cantor_108_ideal,fcc_hea/fcc_hea_CrMnFeCoNi_Cantor_108_ideal.xyz
fcc_hea_CrMnFeCoNi_Cantor_108_Ni_vacancy,FCC HEA,CrMnFeCoNi,Cantor_108_Ni_vacancy,fcc_hea/fcc_hea_CrMnFeCoNi_Cantor_108_Ni_vacancy.xyz
fcc_hea_CrMnFeCoNi+C_Cantor_108_C_interstitial,FCC HEA,CrMnFeCoNi+C,Cantor_108_C_interstitial,fcc_hea/fcc_hea_CrMnFeCoNi+C_Cantor_108_C_interstitial.xyz
fcc_hea_CrMnFeCoNi_Cantor_108_random1,FCC HEA,CrMnFeCoNi,Cantor_108_random1,fcc_hea/fcc_hea_CrMnFeCoNi_Cantor_108_random1.xyz
fcc_hea_CrMnFeCoNi_Cantor_108_random2,FCC HEA,CrMnFeCoNi,Cantor_108_random2,fcc_hea/fcc_hea_CrMnFeCoNi_Cantor_108_random2.xyz
fcc_hea_CrMnFeCoNi_Cantor_108_random3,FCC HEA,CrMnFeCoNi,Cantor_108_random3,fcc_hea/fcc_hea_CrMnFeCoNi_Cantor_108_random3.xyz
max_phase_Ti2AlC_M2AX_ideal,MAX Phase,Ti2AlC,M2AX_ideal,max_phase/max_phase_Ti2AlC_M2AX_ideal.xyz
max_phase_Ti2AlC_M2AX_ideal_2x2x1,MAX Phase,Ti2AlC,M2AX_ideal_2x2x1,max_phase/max_phase_Ti2AlC_M2AX_ideal_2x2x1.xyz
max_phase_Ti2AlC_M2AX_C_vacancy,MAX Phase,Ti2AlC,M2AX_C_vacancy,max_phase/max_phase_Ti2AlC_M2AX_C_vacancy.xyz
max_phase_Ti2AlC_M2AX_Al_vacancy,MAX Phase,Ti2AlC,M2AX_Al_vacancy,max_phase/max_phase_Ti2AlC_M2AX_Al_vacancy.xyz
max_phase_Ti3AlC2_M3AX2_ideal,MAX Phase,Ti3AlC2,M3AX2_ideal,max_phase/max_phase_Ti3AlC2_M3AX2_ideal.xyz
max_phase_Ti3AlC2_M3AX2_C_vacancy,MAX Phase,Ti3AlC2,M3AX2_C_vacancy,max_phase/max_phase_Ti3AlC2_M3AX2_C_vacancy.xyz
max_phase_Ti3AlC2_M3AX2_Al_vacancy,MAX Phase,Ti3AlC2,M3AX2_Al_vacancy,max_phase/max_phase_Ti3AlC2_M3AX2_Al_vacancy.xyz
thermoelectric_PbTe_rocksalt_ideal,Thermoelectric,PbTe,rocksalt_ideal,thermoelectric/thermoelectric_PbTe_rocksalt_ideal.xyz
thermoelectric_PbTe_rocksalt_ideal_2x2x2,Thermoelectric,PbTe,rocksalt_ideal_2x2x2,thermoelectric/thermoelectric_PbTe_rocksalt_ideal_2x2x2.xyz
thermoelectric_PbTe_rocksalt_Te_vacancy,Thermoelectric,PbTe,rocksalt_Te_vacancy,thermoelectric/thermoelectric_PbTe_rocksalt_Te_vacancy.xyz
thermoelectric_PbTe_rocksalt_Pb_vacancy,Thermoelectric,PbTe,rocksalt_Pb_vacancy,thermoelectric/thermoelectric_PbTe_rocksalt_Pb_vacancy.xyz
thermoelectric_Pb0.75Sn0.25Te_rocksalt_alloyed,Thermoelectric,Pb0.75Sn0.25Te,rocksalt_alloyed,thermoelectric/thermoelectric_Pb0.75Sn0.25Te_rocksalt_alloyed.xyz
thermoelectric_Bi2Te3_rhombohedral_ideal,Thermoelectric,Bi2Te3,rhombohedral_ideal,thermoelectric/thermoelectric_Bi2Te3_rhombohedral_ideal.xyz
thermoelectric_Bi2Te3_rhombohedral_Te_vacancy,Thermoelectric,Bi2Te3,rhombohedral_Te_vacancy,thermoelectric/thermoelectric_Bi2Te3_rhombohedral_Te_vacancy.xyz
thermoelectric_Bi2Te3_rhombohedral_Bi_vacancy,Thermoelectric,Bi2Te3,rhombohedral_Bi_vacancy,thermoelectric/thermoelectric_Bi2Te3_rhombohedral_Bi_vacancy.xyz
nuclear_UO2_fluorite_ideal,Nuclear Material,UO2,fluorite_ideal,nuclear/nuclear_UO2_fluorite_ideal.xyz
nuclear_UO2_fluorite_ideal_2x2x2,Nuclear Material,UO2,fluorite_ideal_2x2x2,nuclear/nuclear_UO2_fluorite_ideal_2x2x2.xyz
nuclear_UO2_fluorite_O_vacancy,Nuclear Material,UO2,fluorite_O_vacancy,nuclear/nuclear_UO2_fluorite_O_vacancy.xyz
nuclear_UO2_fluorite_U_vacancy,Nuclear Material,UO2,fluorite_U_vacancy,nuclear/nuclear_UO2_fluorite_U_vacancy.xyz
nuclear_U0.8Pu0.2O2_MOX_fluorite,Nuclear Material,U0.8Pu0.2O2,MOX_fluorite,nuclear/nuclear_U0.8Pu0.2O2_MOX_fluorite.xyz
nuclear_ZrO2_monoclinic_ideal,Nuclear Material,ZrO2,monoclinic_ideal,nuclear/nuclear_ZrO2_monoclinic_ideal.xyz
nuclear_ZrO2_monoclinic_ideal_2x2x2,Nuclear Material,ZrO2,monoclinic_ideal_2x2x2,nuclear/nuclear_ZrO2_monoclinic_ideal_2x2x2.xyz
nuclear_ZrO2_monoclinic_O_vacancy,Nuclear Material,ZrO2,monoclinic_O_vacancy,nuclear/nuclear_ZrO2_monoclinic_O_vacancy.xyz
nuclear_ZrO2_monoclinic_Zr_vacancy,Nuclear Material,ZrO2,monoclinic_Zr_vacancy,nuclear/nuclear_ZrO2_monoclinic_Zr_vacancy.xyz
nuclear_Zr0.84Y0.16O2_YSZ_fluorite,Nuclear Material,Zr0.84Y0.16O2,YSZ_fluorite,nuclear/nuclear_Zr0.84Y0.16O2_YSZ_fluorite.xyz
